product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty
https://www.lenskart.com/vincent-chase-vc-s15748-c1-sunglasses.html,Gunmetal Black,Medium,138 mm,Vincent Chase Polarized,VC S15748,sunglasses,1434,0.0,682
https://www.lenskart.com/lenskart-air-la-e16350-c3-eyeglasses.html,Blue,Medium,137 mm,Lenskart Air,LA E16350,eyeframe,1204,0.0,936
https://www.lenskart.com/john-jacobs-jj-s13078-c5-sunglasses.html,Rose Gold,Wide,139 mm,John Jacobs,JJ S13078,sunglasses,3479,4.4,108
https://www.lenskart.com/vincent-chase-vc-e13394-c8-eyeglasses.html,Navy,Extra Narrow,128 mm,Vincent Chase,VC E13394,eyeframe,1599,0.0,827
https://www.lenskart.com/lenskart-lk-e-16516-c1-eyeglasses.html,Gunmetal,Wide,140 mm,Lenskart STUDIO,LK E16516,eyeframe,1742,0.0,290
https://www.lenskart.com/john-jacobs-jj-e13672-rimless-c2-eyeglasses.html,Silver,Narrow,132 mm,John Jacobs,JJ E13672,eyeframe,13957,4.85,44
https://www.lenskart.com/john-jacobs-jj-s12471s-c1-sunglasses.html,Silver,Wide,134 mm,John Jacobs,JJ S12471S,sunglasses,5743,5.0,204
https://www.lenskart.com/vincent-chase-polarized-vintage-vc-s11748-c4-polarized-dup-sunglasses.html,Gold,Wide,144 mm,Vincent Chase Online,VC S11748,sunglasses,16593,4.65,1530
https://www.lenskart.com/lenskart-lk-e-16276-c1-eyeglasses.html,Grey,5-8 yrs,123 mm,Hooper,LK E16276,eyeframe,1764,0.0,426
https://www.lenskart.com/lenskart-air-la-e16351-c1-eyeglasses.html,Brown,Medium,136 mm,Lenskart Air,LA E16351,eyeframe,407,0.0,1556
https://www.lenskart.com/hooper-hp-e10082-c3-eyeglasses.html,Black,5-8 yrs,120 mm,Hooper,HP E10082,eyeframe,8577,4.35,984
https://www.lenskart.com/vincent-chase-vc-e16697-c1-eyeglasses.html,Green,Medium,135 mm,Vincent Chase,VC E16697,eyeframe,1587,0.0,699
https://www.lenskart.com/john-jacobs-jj-e15292-c1-eyeglasses.html,Black,Medium,137 mm,John Jacobs,JJ E15292,eyeframe,4354,0.0,1747
